INFO: org.jboss.logging.Slf4jLogger.doLogf()	HV000001: Hibernate Validator 5.1.3.Final
INFO: ch.issueman.webservice.BusinessController.<init>()	No custom filter for Adresse found.
INFO: ch.issueman.webservice.BusinessController.<init>()	No custom filter for Arbeitstyp found.
INFO: ch.issueman.webservice.BusinessController.<init>()	No custom filter for Bauherr found.
INFO: ch.issueman.webservice.BusinessController.<init>()	No custom filter for Bauleiter found.
INFO: ch.issueman.webservice.BusinessController.<init>()	No custom filter for Kontakt found.
INFO: ch.issueman.webservice.BusinessController.<init>()	No custom filter for Login found.
INFO: ch.issueman.webservice.BusinessController.<init>()	No custom filter for Mangel found.
INFO: ch.issueman.webservice.BusinessController.<init>()	No custom filter for Mangelstatus found.
INFO: ch.issueman.webservice.BusinessController.<init>()	No custom filter for Ort found.
INFO: ch.issueman.webservice.BusinessController.<init>()	No custom filter for Person found.
INFO: ch.issueman.webservice.BusinessController.<init>()	No custom filter for Projekt found.
INFO: ch.issueman.webservice.BusinessController.<init>()	No custom filter for Projektleitung found.
INFO: ch.issueman.webservice.BusinessController.<init>()	No custom filter for Projekttyp found.
INFO: ch.issueman.webservice.BusinessController.<init>()	No custom filter for Rolle found.
INFO: ch.issueman.webservice.BusinessController.<init>()	No custom filter for Sachbearbeiter found.
INFO: ch.issueman.webservice.BusinessController.<init>()	No custom filter for Subunternehmen found.
INFO: ch.issueman.webservice.BusinessController.<init>()	No custom filter for Unternehmen found.
INFO: ch.issueman.webservice.ContextListener.contextInitialized()	subunternehmen bound.
INFO: ch.issueman.webservice.ContextListener.contextInitialized()	mangelstatus bound.
INFO: ch.issueman.webservice.ContextListener.contextInitialized()	projekt bound.
INFO: ch.issueman.webservice.ContextListener.contextInitialized()	unternehmen bound.
INFO: ch.issueman.webservice.ContextListener.contextInitialized()	kontakt bound.
INFO: ch.issueman.webservice.ContextListener.contextInitialized()	arbeitstyp bound.
INFO: ch.issueman.webservice.ContextListener.contextInitialized()	login bound.
INFO: ch.issueman.webservice.ContextListener.contextInitialized()	bauleiter bound.
INFO: ch.issueman.webservice.ContextListener.contextInitialized()	ort bound.
INFO: ch.issueman.webservice.ContextListener.contextInitialized()	sachbearbeiter bound.
INFO: ch.issueman.webservice.ContextListener.contextInitialized()	rolle bound.
INFO: ch.issueman.webservice.ContextListener.contextInitialized()	person bound.
INFO: ch.issueman.webservice.ContextListener.contextInitialized()	projektleitung bound.
INFO: ch.issueman.webservice.ContextListener.contextInitialized()	adresse bound.
INFO: ch.issueman.webservice.ContextListener.contextInitialized()	bauherr bound.
INFO: ch.issueman.webservice.ContextListener.contextInitialized()	mangel bound.
INFO: ch.issueman.webservice.ContextListener.contextInitialized()	kommentar bound.
INFO: ch.issueman.webservice.ContextListener.contextInitialized()	projekttyp bound.
