Kanton;BFS Code;Gemeindename;PLZ;Ortsbezeichnung;Orts Bez Post;Jahr
TG;4551;Aadorf;8355;Aadorf;Aadorf;2014
AG;4001;Aarau;5000;Aarau;Aarau;2014
AG;4001;Aarau;5032;Aarau Rohr;Rohr;2014
BE;301;Aarberg;3270;Aarberg;Spins;2014
AG;4271;Aarburg;4663;Aarburg;Aarburg;2014
BE;321;Aarwangen;4912;Aarwangen;Mumenthal;2014
ZH;119;Seegräben;8607;Aathal-Seegräben;Aathal;2014
TG;4551;Aadorf;8522;Aawangen;Aawangen;2014
BE;843;Saanen;1657;Abländschen;Abländschen;2014
AG;4221;Abtwil;5646;Abtwil AG;Abtwil;2014
SG;3442;Gaiserwald;9030;Abtwil SG;Abtwil;2014
BE;563;Frutigen;3725;Achseten;Achseten;2014
VD;5621;Aclens;1123;Aclens;Aclens;2014
TI;5048;Acquarossa;6716;Acquarossa;Acquarossa;2014
BE;561;Adelboden;3715;Adelboden;Boden;2014
ZH;111;Bäretswil;8345;Adetswil;Adetswil;2014
LU;1051;Adligenswil;6043;Adligenswil;Adligenswil;2014
ZH;21;Adlikon;8452;Adlikon;Adlikon bei Andelfingen;2014
ZH;96;Regensdorf;8106;Adlikon b.Regensdf;Adlikon bei Regensdorf;2014
ZH;131;Adliswil;8134;Adliswil;Oberleimbach;2014
SO;2421;Aedermannsdorf;4714;Aedermannsdorf;Aedermannsdorf;2014
BE;401;Aefligen;3426;Aefligen;Aefligen;2014
BE;731;Aegerten;2558;Aegerten;Aegerten;2014
ZH;223;Neftenbach;8412;Aesch (Neftenbach);Aesch bei Neftenbach;2014
BL;2761;Aesch (BL);4147;Aesch BL;Aesch;2014
LU;1021;Aesch (LU);6287;Aesch LU;Aesch;2014
ZH;241;Aesch (ZH);8904;Aesch ZH;Aesch (ZH);2014
BE;901;Eggiwil;3536;Aeschau;Aeschau;2014
BE;562;Aeschi bei Spiez;3703;Aeschi b. Spiez;Aeschi bei Spiez;2014
SO;2511;Aeschi (SO);4556;Aeschi SO;Aeschi;2014
BE;619;Oberdiessbach;3672;Aeschlen;Aeschlen bei Oberdiessbach;2014
BE;938;Sigriswil;3656;Aeschlen ob Gunten;Aeschlen bei Sigriswil;2014
