Objekt;Attribute;Selection;Berechtigung;Rolle
Bauherr;adresse;own;GET;Bauleiter
Bauherr;adresse;all;POST;Sachbearbeiter
Bauherr;adresse;all;GET;Sachbearbeiter
Bauherr;adresse;all;PUT;Sachbearbeiter
Bauherr;email;own;GET;Bauleiter
Bauherr;email;all;POST;Sachbearbeiter
Bauherr;email;all;GET;Sachbearbeiter
Bauherr;email;all;PUT;Sachbearbeiter
Bauherr;firmenname;own;GET;Bauleiter
Bauherr;firmenname;all;POST;Sachbearbeiter
Bauherr;firmenname;all;GET;Sachbearbeiter
Bauherr;firmenname;all;PUT;Sachbearbeiter
Bauherr;nachname;own;GET;Bauleiter
Bauherr;nachname;all;POST;Sachbearbeiter
Bauherr;nachname;all;GET;Sachbearbeiter
Bauherr;nachname;all;PUT;Sachbearbeiter
Bauherr;vorname;own;GET;Bauleiter
Bauherr;vorname;all;POST;Sachbearbeiter
Bauherr;vorname;all;GET;Sachbearbeiter
Bauherr;vorname;all;PUT;Sachbearbeiter
Bauherr;vorname;own;GET;Kontaktperson
Bauherr;nachname;own;GET;Kontaktperson
Bauherr;firmenname;own;GET;Kontaktperson
Bauherr;vorname;own;GET;Kontaktadmin
Bauherr;nachname;own;GET;Kontaktadmin
Bauherr;firmenname;own;GET;Kontaktadmin
Bauleiter;email;own;GET;Bauleiter
Bauleiter;email;own;GET;Kontaktadmin
Bauleiter;email;own;GET;Kontaktperson
Bauleiter;email;all;POST;Sachbearbeiter
Bauleiter;email;all;GET;Sachbearbeiter
Bauleiter;email;all;PUT;Sachbearbeiter
Bauleiter;nachname;own;GET;Bauleiter
Bauleiter;nachname;own;GET;Kontaktadmin
Bauleiter;nachname;own;GET;Kontaktperson
Bauleiter;nachname;all;POST;Sachbearbeiter
Bauleiter;nachname;all;GET;Sachbearbeiter
Bauleiter;nachname;all;PUT;Sachbearbeiter
Bauleiter;vorname;own;GET;Bauleiter
Bauleiter;vorname;own;GET;Kontaktadmin
Bauleiter;vorname;own;GET;Kontaktperson
Bauleiter;vorname;all;POST;Sachbearbeiter
Bauleiter;vorname;all;GET;Sachbearbeiter
Bauleiter;vorname;all;PUT;Sachbearbeiter
Kommentar;kommentar;own;POST;Bauleiter
Kommentar;kommentar;own;GET;Bauleiter
Kommentar;kommentar;own;POST;Kontaktperson
Kommentar;kommentar;own;GET;Kontaktperson
Kommentar;kommentar;all;POST;Sachbearbeiter
Kommentar;kommentar;all;GET;Sachbearbeiter
Kommentar;login;all;POST;Sachbearbeiter
Kommentar;login;all;GET;Sachbearbeiter
Kommentar;login;own;POST;Kontaktperson
Kommentar;login;own;GET;Kontaktperson
Kommentar;login;own;POST;Bauleiter
Kommentar;login;own;GET;Bauleiter
Kontakt;email;own;GET;Bauleiter
Kontakt;email;own;GET;Kontaktadmin
Kontakt;email;own;GET;Kontaktperson
Kontakt;email;all;POST;Sachbearbeiter
Kontakt;email;all;GET;Sachbearbeiter
Kontakt;email;all;PUT;Sachbearbeiter
Kontakt;nachname;own;GET;Bauleiter
Kontakt;nachname;own;GET;Kontaktadmin
Kontakt;nachname;own;GET;Kontaktperson
Kontakt;nachname;all;POST;Sachbearbeiter
Kontakt;nachname;all;GET;Sachbearbeiter
Kontakt;nachname;all;PUT;Sachbearbeiter
Kontakt;projekte;own;POST;Bauleiter
Kontakt;projekte;own;GET;Bauleiter
Kontakt;projekte;own;POST;Kontaktadmin
Kontakt;projekte;own;GET;Kontaktadmin
Kontakt;projekte;own;PUT;Kontaktadmin
Kontakt;projekte;own;GET;Kontaktperson
Kontakt;projekte;all;POST;Sachbearbeiter
Kontakt;projekte;all;GET;Sachbearbeiter
Kontakt;projekte;all;PUT;Sachbearbeiter
Kontakt;projekte;own;PUT;Bauleiter
Kontakt;vorname;own;GET;Bauleiter
Kontakt;vorname;own;GET;Kontaktadmin
Kontakt;vorname;own;GET;Kontaktperson
Kontakt;vorname;all;POST;Sachbearbeiter
Kontakt;vorname;all;GET;Sachbearbeiter
Kontakt;vorname;all;PUT;Sachbearbeiter
Login;passwort;own;PUT;Bauleiter
Login;passwort;own;PUT;Kontaktadmin
Login;passwort;own;PUT;Kontaktperson
Login;passwort;all;GET;Sachbearbeiter
Login;passwort;own;GET;Bauleiter
Login;passwort;own;GET;Kontaktadmin
Login;passwort;own;GET;Kontaktperson
Login;passwort;all;POST;Sachbearbeiter
Login;passwort;all;PUT;Sachbearbeiter
Login;rolle;all;POST;Sachbearbeiter
Login;rolle;all;GET;Sachbearbeiter
Login;rolle;all;PUT;Sachbearbeiter
Login;username;own;GET;Bauleiter
Login;username;own;GET;Kontaktadmin
Login;username;own;GET;Kontaktperson
Login;username;all;POST;Sachbearbeiter
Login;username;all;GET;Sachbearbeiter
Login;username;all;PUT;Sachbearbeiter
Mangel;mangel;own;POST;Bauleiter
Mangel;mangel;own;GET;Bauleiter
Mangel;mangel;own;PUT;Bauleiter
Mangel;mangel;own;GET;Kontaktperson
Mangel;mangel;all;POST;Sachbearbeiter
Mangel;mangel;all;GET;Sachbearbeiter
Mangel;mangel;all;PUT;Sachbearbeiter
Mangel;frist;all;POST;Sachbearbeiter
Mangel;frist;all;GET;Sachbearbeiter
Mangel;frist;all;PUT;Sachbearbeiter
Mangel;frist;own;POST;Bauleiter
Mangel;frist;own;GET;Bauleiter
Mangel;frist;own;PUT;Bauleiter
Mangel;frist;own;GET;Kontaktperson
Mangel;projekt;all;POST;Sachbearbeiter
Mangel;projekt;all;GET;Sachbearbeiter
Mangel;projekt;all;PUT;Sachbearbeiter
Mangel;projekt;own;POST;Bauleiter
Mangel;projekt;own;GET;Bauleiter
Mangel;projekt;own;PUT;Bauleiter
Mangel;projekt;own;GET;Kontaktperson
Mangel;mangelstatus;own;POST;Bauleiter
Mangel;mangelstatus;own;GET;Bauleiter
Mangel;mangelstatus;own;PUT;Bauleiter
Mangel;mangelstatus;own;GET;Kontaktperson
Mangel;mangelstatus;own;PUT;Kontaktperson
Mangel;mangelstatus;all;POST;Sachbearbeiter
Mangel;mangelstatus;all;GET;Sachbearbeiter
Mangel;mangelstatus;all;PUT;Sachbearbeiter
Mangel;kommentare;all;GET;Sachbearbeiter
Mangel;kommentare;own;GET;Bauleiter
Mangel;kommentare;own;GET;Kontaktperson
Mangel;kommentare;own;PUT;Bauleiter
Mangel;kommentare;own;PUT;Kontaktperson
Mangel;kommentare;all;PUT;Sachbearbeiter
Mangel;kommentare;own;POST;Bauleiter
Mangel;kommentare;own;POST;Kontaktperson
Mangel;kommentare;all;POST;Sachbearbeiter
Projekt;adresse;own;GET;Bauleiter
Projekt;adresse;own;PUT;Bauleiter
Projekt;adresse;own;GET;Kontaktadmin
Projekt;adresse;own;GET;Kontaktperson
Projekt;adresse;all;POST;Sachbearbeiter
Projekt;adresse;all;GET;Sachbearbeiter
Projekt;adresse;all;PUT;Sachbearbeiter
Projekt;arbeitstyp;own;GET;Bauleiter
Projekt;arbeitstyp;own;PUT;Bauleiter
Projekt;arbeitstyp;own;GET;Kontaktadmin
Projekt;arbeitstyp;own;GET;Kontaktperson
Projekt;arbeitstyp;all;POST;Sachbearbeiter
Projekt;arbeitstyp;all;GET;Sachbearbeiter
Projekt;arbeitstyp;all;PUT;Sachbearbeiter
Projekt;bauherr;own;GET;Bauleiter
Projekt;bauherr;own;PUT;Bauleiter
Projekt;bauherr;own;GET;Kontaktadmin
Projekt;bauherr;own;GET;Kontaktperson
Projekt;bauherr;all;POST;Sachbearbeiter
Projekt;bauherr;all;GET;Sachbearbeiter
Projekt;bauherr;all;PUT;Sachbearbeiter
Projekt;projektleiter;own;GET;Bauleiter
Projekt;projektleiter;own;PUT;Bauleiter
Projekt;projektleiter;own;GET;Kontaktadmin
